,Dataset,BRM,BRM_M,BRM_C,BRM_Ch,GMM,ISOF,ocSVM,BRM_MinMax,BRM_M_MinMax,BRM_C_MinMax,BRM_Ch_MinMax,GMM_MinMax,ISOF_MinMax,ocSVM_MinMax,BRM_std,BRM_M_std,BRM_C_std,BRM_Ch_std,GMM_std,ISOF_std,ocSVM_std,BRM_Minmax_std,BRM_M_Minmax_std,BRM_C_Minmax_std,BRM_Ch_Minmax_std,GMM_Minmax_std,ISOF_Minmax_std,ocSVM_Minmax_std
0,ecoli-0-1_vs_5,0.9261363636363636,0.9204545454545454,0.8295454545454546,0.9261363636363636,0.8693181818181819,0.875,0.875,0.9261363636363636,0.9261363636363636,0.8352272727272727,0.9261363636363636,0.8693181818181819,0.8693181818181819,0.875,0.9261363636363636,0.9261363636363636,0.8295454545454546,0.9261363636363636,0.8693181818181819,0.8465909090909091,0.875,0.9261363636363636,0.9261363636363636,0.8181818181818182,0.9261363636363636,0.8693181818181819,0.8863636363636364,0.875
1,ecoli-0-2-3-4_vs_5,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8716216216216216,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8851351351351352,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8851351351351351,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9189189189189189,0.8918918918918919,0.8581081081081081,0.9054054054054055
2,lymphography-normal-fibrosis,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143
3,car-vgood,0.6153846153846154,0.5754215754215755,0.6100716100716101,0.5,0.9914529914529915,0.8704088704088704,0.9949179949179949,0.6502656502656503,0.610995610995611,0.6044121044121045,0.5,0.9914529914529915,0.8565488565488566,0.9949179949179949,0.5718410718410718,0.5354585354585354,0.6528066528066527,0.5,0.9914529914529915,0.8997458997458997,0.9949179949179949,0.5739200739200739,0.6153846153846154,0.5015015015015015,0.5,0.9914529914529915,0.7731577731577731,0.9949179949179949
4,glass1,0.6412037037037037,0.6527777777777777,0.6157407407407407,0.6157407407407407,0.5231481481481481,0.5486111111111112,0.576388888888889,0.6388888888888888,0.6712962962962963,0.6203703703703703,0.6203703703703703,0.5231481481481481,0.5277777777777778,0.576388888888889,0.6435185185185185,0.6527777777777778,0.6296296296296297,0.6226851851851851,0.5231481481481481,0.5324074074074074,0.576388888888889,0.6458333333333333,0.6527777777777778,0.625,0.6064814814814815,0.5231481481481481,0.5393518518518519,0.576388888888889
5,ecoli-0-3-4_vs_5,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9583333333333333,0.923611111111111,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9652777777777778,0.923611111111111,0.9027777777777778,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9583333333333333,0.923611111111111,0.9444444444444444,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9513888888888888,0.9583333333333333,0.923611111111111,0.9513888888888888,0.9305555555555556
6,zoo-3,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.6,0.8
7,wisconsinImb,0.9932116104868913,0.9948501872659176,0.8939606741573034,0.9888810861423221,0.9803370786516854,0.9967228464419475,0.9948501872659176,0.9929775280898876,0.9946161048689138,0.8944288389513109,0.9886470037453183,0.9803370786516854,0.99812734082397,0.9948501872659176,0.9929775280898876,0.9950842696629213,0.8953651685393258,0.9886470037453183,0.9803370786516854,0.9971910112359551,0.9948501872659176,0.9929775280898876,0.9943820224719101,0.8939606741573034,0.9891151685393258,0.9803370786516854,0.9978932584269663,0.9948501872659176
8,ecoli-0-4-6_vs_5,1.0,1.0,0.918918918918919,0.9932432432432432,0.972972972972973,0.918918918918919,0.9864864864864865,1.0,1.0,0.9256756756756757,0.9932432432432432,0.972972972972973,0.9459459459459459,0.9864864864864865,1.0,1.0,0.9324324324324325,0.9932432432432432,0.972972972972973,0.9459459459459459,0.9864864864864865,1.0,1.0,0.9324324324324325,0.9932432432432432,0.972972972972973,0.9527027027027027,0.9864864864864865
9,ecoli-0-1-4-7_vs_5-6,0.8387096774193549,0.8774193548387097,0.7806451612903226,0.8225806451612903,0.8064516129032259,0.7774193548387096,0.7548387096774194,0.8193548387096774,0.8806451612903226,0.7870967741935484,0.8225806451612903,0.8064516129032259,0.7967741935483871,0.7548387096774194,0.8129032258064517,0.8516129032258064,0.7870967741935484,0.8096774193548387,0.8064516129032259,0.7774193548387096,0.7548387096774194,0.8354838709677419,0.8580645161290323,0.7870967741935484,0.8129032258064517,0.8064516129032259,0.7870967741935484,0.7548387096774194
