,Dataset,BRM_auc,GMM_auc,IsoF_auc,Elliptic_auc,DTAE_auc,BRM_avr_pre,GMM_avr_pre,IsoF_avr_pre,Elliptic_avr_pre,DTAE_avr_pre
0,ecoli-0-3-4-6_vs_5,0.7162162162162162,0.8102702702702703,0.8324324324324324,0.885945945945946,0.6321621621621621,0.959098764608626,0.9769233312280572,0.9807609426346156,0.9879041137171815,0.9359426471830994
1,ecoli-0-1-4-7_vs_2-3-5-6,0.6575311692687857,0.8004043580815455,0.8111872402560935,0.7902954060429068,0.8009659665281366,0.9418186064914783,0.9733697047812162,0.9748192317920679,0.9734427753437713,0.9708791341503237
2,ecoli-0-2-3-4_vs_5,0.7458791208791209,0.8291208791208791,0.8505494505494505,0.8909340659340659,0.6445054945054944,0.9629363070688443,0.9786689337355655,0.9829804899711843,0.987980588874325,0.944553955657609
3,ecoli-0-3-4_vs_5,0.7430555555555556,0.8283333333333334,0.8569444444444444,0.8825000000000001,0.6816666666666666,0.9623582201782831,0.9784623888750748,0.9835793050030743,0.9866492812054148,0.9521660367106968
4,glass4,0.870264064293915,0.8136241867585151,0.8522770761576732,0.8446230386528895,0.7049368541905856,0.9907050121953009,0.9862989683693364,0.9895874253874116,0.9894829052996977,0.9759967451827565
5,glass2,0.5509107196177964,0.6021200358315915,0.5952523141236189,0.595252314123619,0.6133174081815467,0.9198223079648736,0.9000536641684448,0.9174349838689646,0.9135511389144679,0.9128783774056626
6,winequality-red-8_vs_6-7,0.6134674100623921,0.5506106464887828,0.567137926456923,0.5369374751095182,0.5609650869507501,0.9842886067861653,0.978780330576475,0.9808983573429318,0.9782738862551847,0.9848883351593755
7,ecoli-0-4-6_vs_5,0.719672131147541,0.8202185792349727,0.8371584699453551,0.9068306010928961,0.6480874316939892,0.9528217094532168,0.9779892611530747,0.9814020119613192,0.9900611161343392,0.9378439564326202
8,cleveland-0_vs_4,0.9028846153846154,0.8658653846153845,0.8884615384615385,0.9721153846153846,0.9072115384615385,0.9917013194336676,0.9873558406500061,0.9898287993151911,0.9977656330418032,0.991409198222393
9,glass1,0.5069126620900075,0.6175629290617849,0.5409992372234935,0.607837528604119,0.516113653699466,0.6284192968898693,0.5759451169655978,0.623149100099974,0.5731016982097317,0.6663789024083049
